Geneid,DRR084259,DRR084260,DRR084261,DRR084262,DRR084263,DRR084264,DRR084265,DRR084266,DRR084267
SAOUHSC_01285,331,307,385,225,393,277,390,167,313
SAOUHSC_01287,2133,2044,2804,1277,2396,1774,3168,898,1732
SAOUHSC_01288,8,8,5,3,18,7,6,4,6
SAOUHSC_01289,5,6,11,4,10,4,6,7,5
SAOUHSC_01290,16,15,17,18,24,15,9,6,14
SAOUHSC_01291,28,20,37,21,45,33,23,10,25
SAOUHSC_01292,21,16,23,22,34,18,18,15,21
SAOUHSC_01293,0,0,0,0,1,2,0,0,0
SAOUHSC_01294,1,0,0,1,2,0,1,1,2
SAOUHSC_01295,4,4,8,5,7,0,5,4,4
SAOUHSC_01296,4,6.50,16,4,14,7.50,21.50,4,15
SAOUHSC_01297,40,41,58,56,107,69,65,32,54
SAOUHSC_01298,0,0,0,0,1,0,0,0,0
SAOUHSC_01299,2,1,0,1,1,0,0,0,0
SAOUHSC_01300,2,0,0,2,0,2,3,0,0
SAOUHSC_01301,3,5,7,0,3,1,5,2,3
SAOUHSC_01304,14,29,38,15,26,14,34,7,19
SAOUHSC_01305,37,36,66,25,51,24,53,12,27
SAOUHSC_01306,12,13,12,4,10,10,16,4,9
SAOUHSC_01307,7,7,9,10,29,20,20,7,18
SAOUHSC_1307a,58,74,74,26,66,47,85,27,55
SAOUHSC_01310,493,384,683,249,455,341,682,275,548
SAOUHSC_01311,11,5,11,3,12,10,19,4,10
SAOUHSC_01312,11,7,23,7,24,15,20,11,22
SAOUHSC_01313,53,59,86,85,152,105,78,27,49
SAOUHSC_01314,42,62,85,108,167,126,86,34,57
SAOUHSC_01315,53,45,44,78,127,85,87,28,52
SAOUHSC_01316,43,39,52,48,78,42,50,13,25
SAOUHSC_01317,294,321,435,203,416,311,380,128,269
SAOUHSC_01318,52,56,67,42,78,69,67,23,25
SAOUHSC_01319,34,16,27,35,45,43,31,13,29
SAOUHSC_01320,204,164,273,208,376,273,340,159,339
SAOUHSC_01321,121,110,207,107,197,147,225,101,158
SAOUHSC_01322,90,87,134,96,137,98,154,64,113
SAOUHSC_01323,344,343,563,385,639,520,640,206,382
SAOUHSC_01324,195,162,280,119,201,150,318,107,214
SAOUHSC_01325,1,1,0,1,3,2,3,1,0
SAOUHSC_01326,1178,1040,1580,801,1488,1119,1967,679,1153
SAOUHSC_01327,1019,904,1563,1035,1800,1580,1892,747,1133
rpmG,1128,979,1326,859,1665,1146,1380,369,752
rpsN,935,608,1079,521,1117,786,781,215,368
SAOUHSC_01330,56,34,93,64,174,88,84,14,49
SAOUHSC_01331,2,1,7,4,11,9,5,0,5
SAOUHSC_01332,220,170,285,223,501,321,315,104,197
SAOUHSC_01333,599,572,868,447,797,561,928,342,682
SAOUHSC_01334,19,21,51,23,53,41,49,30,39
SAOUHSC_01336,88,64,147,78,121,90,129,58,103
SAOUHSC_01337,3334,3178,5424,3002,5996,4605,6101,2501,4831
SAOUHSC_01338,804,731,967,669,1334,852,1214,271,607
SAOUHSC_01339,0,0,0,0,0,0,0,0,0
SAOUHSC_01340,169,125,212,269,594,411,230,78,133
SAOUHSC_01341,103,70,133,90,212,140,117,50,104
SAOUHSC_1342a,2203,2015,3033,1260,2013,1676,3805,1111,2474
SAOUHSC_01346,1325,1112,1859,1713,3163,2419,1763,328,530
SAOUHSC_01347,1612,1247,2212,1109,1964,1704,3046,1169,1832
SAOUHSC_01348,133,120,201,118,246,152,238,81,137
SAOUHSC_01349,62,71,98,48,85,71,111,43,82
SAOUHSC_01350,304,264,391,223,354,250,453,96,202
SAOUHSC_01351,617,569,859,571,1095,756,792,241,515
SAOUHSC_01352,661,528,824,470,931,667,854,221,420
SAOUHSC_01353,230,173,281,150,346,263,239,123,211
SAOUHSC_01354,799,749,1151,543,993,770,1158,251,480
SAOUHSC_01356,123,112,136,102,178,153,175,55,100
SAOUHSC_01357,40,37,65,31,47,43,51,9,19
SAOUHSC_01358,1049,902,1438,692,1299,1028,1596,564,1048
SAOUHSC_01359,1179,1169,1773,753,1406,977,1810,649,1306
SAOUHSC_01360,127,110,174,153,360,262,164,85,192
SAOUHSC_01361,161,167,237,174,292,240,245,75,135
SAOUHSC_01362,493,432,640,336,622,482,847,491,937
SAOUHSC_01363,41,38,85,34,57,50,84,31,57
SAOUHSC_01364,153,120,237,131,247,165,257,96,170
SAOUHSC_01365,170,170,280,132,273,176,287,111,179
SAOUHSC_01366,26,16,38,9,34,20,28,16,35
SAOUHSC_01367,15,11,17,6,5,14,19,7,20
trpD,18,20,38,20,21,25,34,25,34
trpC,9,12,6,2,14,1,9,7,5
SAOUHSC_01370,10,6,9,2,4,4,11,4,10
SAOUHSC_01371,21,19,17,6,13,10,20,11,18
trpA,18,14,31,15,40,32,30,6,14
SAOUHSC_01373,552,627,894,727,1316,992,903,254,540
SAOUHSC_01374,747,709,1161,923,1600,1232,1224,394,724
SAOUHSC_01375,144,103,174,188,321,254,185,76,143
SAOUHSC_01376,84,77,144,84,166,116,114,66,119
SAOUHSC_01377,43,24,52,25,56,27,63,26,47
SAOUHSC_01378,14,14,22,10,21,16,23,14,22
SAOUHSC_01379,6,5,14,10,19,19,24,6,20
SAOUHSC_01380,11,16,14,9,31,21,19,14,19
SAOUHSC_01381,0,1,2,0,0,0,0,0,0
SAOUHSC_01382,16,20,21,24,32,21,22,8,10
SAOUHSC_01383,789,666,1076,740,1331,1101,1195,562,914
SAOUHSC_01384,3,4,5,7,8,12,3,3,6
SAOUHSC_01385,5,6,7,9,11,12,9,1,9
SAOUHSC_01386,3,4,4,8,11,1,8,2,2
SAOUHSC_01387,4,5,2,1,6,6,4,0,4
SAOUHSC_01388,0,0,0,0,0,0,0,1,0
SAOUHSC_01389,1,5,3,4,8,7,6,3,6
SAOUHSC_01391,706,682,1102,632,1166,778,1014,341,656
SAOUHSC_01392,900,699,1124,1721,3363,2281,1102,366,701
SAOUHSC_01394,55,38,65,27,45,25,58,32,75
SAOUHSC_01395,99,66,119,38,67,56,136,64,132
SAOUHSC_01396,84,72,134,41,75,48,135,76,166
SAOUHSC_01397,75,49,76,41,58,50,99,66,84
SAOUHSC_01398,35,39,67,39,44,47,69,32,76
SAOUHSC_01399,62,59,91,31,63,44,97,50,78
SAOUHSC_01400,34,45,47,38,36,31,65,22,70
SAOUHSC_01401,194,185,270,152,297,238,369,141,243
SAOUHSC_01402,3,3,4,4,9,5,6,0,2
SAOUHSC_01403,3307,3614,4772,1747,3249,2229,5456,1577,2947
SAOUHSC_01405,87,83,102,87,131,111,193,25,61
SAOUHSC_01406,65,52,90,81,154,117,84,59,90
SAOUHSC_01407,147,156,239,182,337,305,303,105,195
SAOUHSC_01408,282,307,527,331,614,469,532,225,457
SAOUHSC_01411,284,229,338,276,508,357,397,119,232
SAOUHSC_01412,240,243,423,240,510,421,495,205,382
SAOUHSC_01413,178,132,232,156,370,300,314,185,287
SAOUHSC_01414,53,67,97,75,144,87,110,27,52
SAOUHSC_01415,304,291,456,409,825,637,512,209,473
SAOUHSC_01416,300,256,503,293,535,387,491,219,426
sucA,499,443,756,436,963,722,884,373,719
SAOUHSC_01419,132,112,182,108,208,146,178,74,150
SAOUHSC_01420,93,86,147,87,158,84,119,60,100
SAOUHSC_01421,4,3,2,3,3,1,5,1,2
SAOUHSC_01422,5,2,5,6,17,8,9,6,3
SAOUHSC_01423,197,147,250,149,264,214,306,150,249
murG,192,161,323,160,339,238,380,169,308
SAOUHSC_01425,49,35,55,39,69,41,72,24,63
SAOUHSC_01427,394,394,591,299,542,393,744,299,554
SAOUHSC_01429,124,145,225,118,243,204,328,93,148
SAOUHSC_01430,313,278,480,282,484,415,575,188,324
SAOUHSC_01431,281,264,473,289,643,466,569,217,395
SAOUHSC_01432,515,440,862,497,929,787,921,395,697
SAOUHSC_01433,374,311,557,278,533,393,516,217,406
SAOUHSC_01434,258,219,379,242,458,357,369,175,346
thyA,220,195,383,205,372,276,322,124,259
SAOUHSC_01436,181,146,261,167,320,218,267,78,177
SAOUHSC_01437,371,357,539,378,798,609,580,222,436
SAOUHSC_01438,149,145,237,209,351,286,242,105,205
SAOUHSC_01439,104,75,117,103,222,179,117,72,123
SAOUHSC_01440,61,48,64,124,259,207,69,19,39
SAOUHSC_01441,8.60,5.40,12.00,8.73,18.40,13.00,12.20,5.20,12.60
SAOUHSC_01443,22,28,44,26,65,37,63,21,27
SAOUHSC_01447,211,226,337,276,504.00,347,283,123,209
SAOUHSC_01448,103,320,366,24,116,80,124,62,258
SAOUHSC_01450,236,661,777,23,178,149,184,109,691
SAOUHSC_01451,206,551,662,8,105,107,133,105,469
SAOUHSC_01452,271,521,617,10,91,61,154,91,366
SAOUHSC_01454,266,238,419,205,439,293,410,176,325
SAOUHSC_01455,696,664,1073,572,1022,741,915,321,615
SAOUHSC_01456,53,75,76,20,34,28,43,14,38
SAOUHSC_01459,52,50,73,38,67,52,68,15,32
SAOUHSC_01460,144,119,223,160,291,204,196,42,128
SAOUHSC_01462,655,634,984,697,1347,896,928,496,905
SAOUHSC_01463,367,412,661,489,886,656,718,279,529
SAOUHSC_01464,148,144,233,163,324,227,244,99,196
recU,299,262,399,296,563,399,289,89,181
SAOUHSC_01467,2118,1814,2944,1899,3527,2602,2981,834,1678
SAOUHSC_01468,23,37,41,35,89,48,52,9,43
SAOUHSC_01469,58,74,96,107,196,116,78,24,55
SAOUHSC_01470,103,82,143,148,322,216,128,58,97
asnC,1138,1084,1869,3385,6231,4790,1918,696,1446
SAOUHSC_01472,429,405,647,384,767,541,693,231,399
SAOUHSC_01473,193,165,293,151,310,255,261,92,193
SAOUHSC_01474,126,141,193,135,262,173,196,69,134
SAOUHSC_01475,132,154,181,113,204,171,182,67,99
SAOUHSC_01476,63,46,73,45,91,93,85,27,65
SAOUHSC_01477,2158,1942,2980,1618,3048,2473,3859,1147,2341
SAOUHSC_01478,104,128,201,88,195,127,190,60,97
SAOUHSC_01479,81,77,131,63,119,105,153,37,67
SAOUHSC_01480,322,313,515,252,531,403,500,207,361
SAOUHSC_01481,469,400,717,327,669,487,763,317,526
aroB,270,219,366,197,358,236,403,139,295
SAOUHSC_01483,237,218,380,187,353,266,374,130,319
SAOUHSC_01484,4,1,3,0,2,3,1,0,2
ndk,221,177,315,213,335,253,293,93,170
SAOUHSC_01486,609,599,958,562,1034,710,906,290,564
ubiE,401,372,534,362,704,426,472,202,362
SAOUHSC_01488,182,183,255,161,317,190,253,102,146
SAOUHSC_01489,1,0,1,3,2,1,2,0,0
SAOUHSC_01490,12618,11454,15477,8086,14458,10787,16695,5226,11882
gpsA,952,842,1335,830,1471,1125,1311,433,813
engA,1186,1066,1701,1062,2004,1566,1678,541,995
rpsA,904,1108,1510,1206,2117,1611,1489,624,1251
SAOUHSC_A01436,1,0,1,1,1,1,1,0,0
SAOUHSC_01494,0,0,0,0,0,0,0,0,0
SAOUHSC_01495,7,7,6,1,15,6,10,1,4
cmk,445,352,637,349,706,492,570,224,482
SAOUHSC_01497,131,116,161,167,281,244,231,95,142
SAOUHSC_01499,155,154,222,183,364,272,214,81,118
SAOUHSC_01500,0,2,1,1,2,6,1,2,0
SAOUHSC_01501,900,922,1358,904,1637,1250,1278,673,1183
SAOUHSC_01502,160,159,296,158,325,240,262,147,244
SAOUHSC_01503,114,97,145,107,207,151,154,79,126
SAOUHSC_01504,105,93,148,202,340,269,121,40,96
SAOUHSC_01505,89,92,136,144,237,185,157,35,68
SAOUHSC_01507,12,9,28,11,21,9,40,11,28
SAOUHSC_01508,67,72,117,33,58,55,216,96,233
SAOUHSC_01510,14,12,20,13,17,14,51,32,44
SAOUHSC_01511,35.50,55,90.50,13.50,38,32.50,183.50,101.83,159
SAOUHSC_01512,44,58,103,16,62,41,252,111.83,225
SAOUHSC_01513,22,27,42,15,19,9,104,37,90
SAOUHSC_01514,0,0,0,0,0,0,0,0,0
SAOUHSC_01515,0,0,0,0,0,0,0,0,0
SAOUHSC_01516,0,0,0,0,0,0,0,0,0
SAOUHSC_01517,0,0,0,0,0,0,0,0,0
SAOUHSC_01518,0,0,0,0,0,0,0,0,0
SAOUHSC_01519,0,0,0,0,0,0,0,0,0
SAOUHSC_01520,0,0,0,0,0,0,0,0,0
SAOUHSC_01521,0,0,0,0,0,0,0,0,0
SAOUHSC_01522,0,0,0,0,0,0,0,0,0
SAOUHSC_01523,0,0,0,0,0,0,0,0,0
SAOUHSC_01524,0,0,0,0,0,0,0,0,0
SAOUHSC_01525,0,0,0,0,0,0,0,0,0
SAOUHSC_01526,0,0,0,0,0,0,0,0,0
SAOUHSC_01527,0,0,0,0,0,0,0,0,0
SAOUHSC_01528,0,0,0,0,0,0,0,0,0
SAOUHSC_01529,0,1,0,0,0,0,1,0,0
SAOUHSC_01530,0,0,0,0,0,0,0,0,0
SAOUHSC_01531,0,0,0,0,0,0,0,0,0
SAOUHSC_01532,0,0,0,0,0,0,0,0,0
SAOUHSC_01533,0,0,0,0,0,0,0,0,0
SAOUHSC_01535,0,0,0,0,0,0,0,0,0
SAOUHSC_01536,0,0,0,0,0,0,0,0,0
SAOUHSC_01537,0,0,0,0,0,0,0,0,0
SAOUHSC_01538,0,0,0,0,0,0,0,0,0
SAOUHSC_01539,0,0,0,0,0,0,0,0,0
SAOUHSC_01540,0,0,0,0,0,0,0,0,0
SAOUHSC_01541,0,0,0,0,0,0,0,0,0
SAOUHSC_01542,0,0,0,0,0,0,0,0,0
SAOUHSC_01543,0,0,0,0,0,0,0,0,0
SAOUHSC_01544,0,0,0,0,0,0,0,0,0
SAOUHSC_01545,0,0,0,0,0,0,0,0,0
SAOUHSC_01546,0,0,0,0,0,0,0,0,0
SAOUHSC_01547,0,0,0,0,0,0,0,0,0
SAOUHSC_01548,0,0,0,0,0,0,0,0,0
SAOUHSC_01549,0,0,0,0,0,0,0,0,0
SAOUHSC_01550,0,0,0,0,0,0,0,0,0
SAOUHSC_01551,0,0,0,0,0,0,0,0,0
SAOUHSC_01552,0,0,0,0,0,0,0,0,0
SAOUHSC_01553,0,0,0,0,0,0,0,0,0
SAOUHSC_01555,0,0,0,0,0,0,0,0,0
SAOUHSC_01556,0,0,0,0,0,0,0,0,0
SAOUHSC_01557,0,0,0,0,0,0,0,0,0
SAOUHSC_01558,0,0,0,0,0,0,0,0,0
SAOUHSC_01559,0,0,0,0,0,0,0,0,0
SAOUHSC_01560,0,0,0,0,0,0,0,0,0
SAOUHSC_01561,0,0,0,0,0,0,0,0,0
SAOUHSC_01562,0,0,0,0,0,0,0,0,0
SAOUHSC_01563,0,0,0,0,0,0,0,0,0
SAOUHSC_01565,0,0,0,0,0,0,0,0,0
SAOUHSC_01566,0,0,0,0,0,0,0,0,0
SAOUHSC_01567,0,0,0,0,0,0,0,0,0
SAOUHSC_01568,0,0,0,0,0,0,0,0,0
SAOUHSC_01569,0,0,0,0,0,0,0,0,0
SAOUHSC_01570,0,0,0,0,0,0,0,0,0
SAOUHSC_01571,0,0,0,0,0,0,0,0,0
SAOUHSC_01572,0,0,0,0,0,0,0,0,0
SAOUHSC_01573,0,0,0,0,0,0,0,0,0
SAOUHSC_01574,0,0,0,0,0,0,0,0,0
SAOUHSC_A01514,0,0,0,0,0,0,0,0,0
SAOUHSC_01575,0,0,0,0,0,0,0,0,0
SAOUHSC_01576,0,0,0,0,0,0,0,0,0
SAOUHSC_01577,0,0,0,0,0,0,0,0,0
SAOUHSC_01578,0,0,0,0,0,0,0,0,0
SAOUHSC_01579,0,0,0,0,0,0,0,0,0
SAOUHSC_01580,0,0,0,0,0,0,0,0,0
SAOUHSC_01582,0,0,0,0,0,0,0,0,0
SAOUHSC_01583,137,140,319,57,90,82,718,408,787
SAOUHSC_01584,56.50,57,136.50,15.50,31,20.50,318.50,190.33,367
SAOUHSC_01585,761,711,1235,308,643,467,863,376,781
SAOUHSC_01586,379,439,625,194,351,241,484,143,307
SAOUHSC_01587,237,223,375,174,369,247,302,114,197
SAOUHSC_01588,198,183,273,156,298,212,221,105,202
SAOUHSC_01589,125,129,196,111,205,143,166,53,118
SAOUHSC_01590,16,13,32,26,33,28,33,14,16
SAOUHSC_01591,212,199,283,123,280,218,261,107,193
SAOUHSC_01592,111,147,195,97,171,129,209,50,118
SAOUHSC_01593,49,52,84,28,64,54,106,23,74
SAOUHSC_01594,303,299,457,493,864,633,549,219,416
SAOUHSC_01595,32,28,53,39,72,53,46,21,51
SAOUHSC_01596,41,56,120,68,127,107,87,48,98
SAOUHSC_01597,168,171,258,129,290,189,338,139,253
SAOUHSC_01598,179,166,268,138,249,184,277,74,161
SAOUHSC_01599,760,759,1244,800,1343,1160,1537,421,787
SAOUHSC_01600,258,252,378,254,455,298,443,141,268
SAOUHSC_01601,31,27,64,22,50,37,45,17,26
SAOUHSC_01602,13,10,21,17,15,17,21,6,14
SAOUHSC_01603,0,1,1,0,0,1,0,1,0
SAOUHSC_01604,178,184,229,172,240,196,319,121,204
SAOUHSC_01605,2181,1820,2975,1865,3601,2722,2966,1063,1853
SAOUHSC_01606,162,125,234,184,339,271,257,109,202
SAOUHSC_01607,63,81,79,93,149,109,89,53,92
SAOUHSC_01608,0,0,1,0,1,0,1,0,0
SAOUHSC_01609,307,339,463,171,282,221,473,129,286
SAOUHSC_01610,221,227,315,137,229,174,352,111,229
SAOUHSC_01611,526,490,819,414,802,574,824,287,488
SAOUHSC_01612,370,287,569,260,607,411,546,211,353
SAOUHSC_01613,416,325,586,293,541,444,559,184,361
SAOUHSC_01614,516,431,796,396,808,607,699,288,528
SAOUHSC_01615,616,630,912,505,869,632,836,289,512
SAOUHSC_01617,131,103,163,96,172,122,184,45,99
SAOUHSC_01618,760,625,1080,800,1651,1141,1039,393,752
SAOUHSC_01619,67,84,116,64,161,101,126,39,62
xseA,581,591,923,741,1391,911,883,299,568
nusB,439,405,673,511,1075,777,640,281,476
SAOUHSC_01622,243,254,350,327,495,379,361,112,218
SAOUHSC_01623,864,782,1259,1083,2139,1582,1208,464,853
SAOUHSC_01624,365,291,518,527,1040,730,432,215,429
SAOUHSC_01625,912,988,1322,728,1220,917,1397,295,601
SAOUHSC_01626,864,853,1408,1918,3568,2649,1352,728,1450
SAOUHSC_01627,88,101,124,145,250,158,140,52,88
SAOUHSC_01628,18,30,41,38,80,47,54,12,25
SAOUHSC_01629,181,193,274,152,223,194,323,109,241
SAOUHSC_01630,437,448,617,319,531,443,728,209,405
SAOUHSC_01632,494,404,698,383,708,540,884,287,538
SAOUHSC_01633,349,261,515,315,522,387,601,212,363
gcvT,285,239,395,262,485,396,471,189,386
SAOUHSC_01635,113,113,153,140,223,140,148,55,139
SAOUHSC_01636,0,1,8,0,4,1,0,0,0
SAOUHSC_01637,5,0,10,2,4,6,3,1,6
SAOUHSC_01638,2,1,6,3,7,4,1,0,2
SAOUHSC_01639,3,3,4,0,1,4,3,1,3
SAOUHSC_01640,2,1,2,1,10,1,3,0,3
SAOUHSC_01641,3,9,2,7,8,4,2,0,5
SAOUHSC_01643,11,16,24,10,25,17,22,7,16
SAOUHSC_01644,286,328,478,224,453,335,505,167,271
SAOUHSC_01645,154,109,244,110,253,148,247,83,159
SAOUHSC_01646,640,577,955,483,1002,798,913,393,705
SAOUHSC_01647,63,70,93,57,95,55,95,23,46
SAOUHSC_01650,139,159,239,120,276,217,189,93,188
SAOUHSC_01652,781,709,1102,657,1289,922,972,402,796
SAOUHSC_01653,1297.50,1126,1761,1829,2788,2491,1895,687,1191
SAOUHSC_01655,27,15,32,28,44,30,41,6,15
SAOUHSC_01656,81,72,119,70,180,115,118,34,77
SAOUHSC_01657,77,59,115,75,105,97,81,13,53
SAOUHSC_01658,583,473,717,493,1001,685,738,277,472
SAOUHSC_01659,636,525,895,592,1160,900,779,297,536
SAOUHSC_01660,260,230,355,208,414,308,377,115,235
SAOUHSC_01661,104,94,171,134,237,167,193,53,100
SAOUHSC_01662,578,592,835,662,1208,870,833,239,486
SAOUHSC_01663,640,609,947,657,1317,903,869,308,670
SAOUHSC_01664,216,185,353,165,320,224,339,161,286
SAOUHSC_01665,94,96,127,84,157,115,132,67,129
SAOUHSC_01666,1537,1399,2345,1313,2484,1943,3351,848,1676
SAOUHSC_01667,292,242,427,158,304,261,482,153,299
era,344,305,527,192,401,302,540,217,438
SAOUHSC_01670,101,83,154,57,141,89,173,71,102
SAOUHSC_01671,72,67,104,56,105,84,102,54,115
SAOUHSC_01672,97,113,161,69,178,94,149,77,124
SAOUHSC_01673,236,176,327,190,358,259,329,159,297
SAOUHSC_01675,1504,1382,2096,1030,1880,1271,1845,904,1421
SAOUHSC_01676,1739,1459,2524,1166,2232,1595,2461,1032,1736
SAOUHSC_01677,1134,976,1630,761,1454,1105,1766,509,893
rpsU,832,758,953,516,953,704,1223,284,528
SAOUHSC_01679,921,782,1225,1201,2298,1736,1264,519,972
SAOUHSC_01680,259,246,368,338,674,503,376,144,321
prmA,286,289,481,327,641,447,464,137,235
SAOUHSC_01682,439,377,695,507,1038,813,628,296,485
dnaK,1489,1654,2926,1659,3408,2633,2790,893,1508
SAOUHSC_01684,256,257,427,309,581,478,408,128,221
SAOUHSC_01685,313,328,518,355,753,661,549,199,319
SAOUHSC_01686,79,57,107,62,105,83,87,25,45
SAOUHSC_01687,27.92,22.62,36.58,12.17,42.58,31.00,35.33,13.87,21.42
SAOUHSC_01688,744,617,1032,671,1312,911,925,312,576
rpsT,1583,1495,2023,1900,3292,2050,2070,404,778
holA,88,68,124,103,198,113,100,32,67
SAOUHSC_01691,78,67,109,72,149,97,92,45,81
SAOUHSC_01692,147,126,178,197,399,304,249,92,208
SAOUHSC_01693,53,53,95,41,93,62,76,32,54
SAOUHSC_01694,422,386,637,411,741,619,594,202,330
SAOUHSC_01695,241,226,370,243,467,294,306,130,206
SAOUHSC_01696,319,270,429,331,629,461,421,151,248
SAOUHSC_01697,481,401,735,510,1110,759,613,282,426
SAOUHSC_01698,112,79,159,113,229,178,131,45,88
SAOUHSC_01699,342,279,486,386,727,601,447,149,277
SAOUHSC_01700,364,276,550,445,889,615,478,165,296
SAOUHSC_01701,313,228,420,397,807,662,381,157,281
SAOUHSC_01702,175,164,243,339,680,483,252,76,190
SAOUHSC_01704,6,4,8,7,11,5,10,2,6
SAOUHSC_01705,17,12,27,26,45,28,28,11,10
SAOUHSC_01706,47,53,101,44,107,93,110,31,57
SAOUHSC_01707,28,28,56,24,54,36,93,30,61
SAOUHSC_01708,77,63,131,54,111,102,190,88,144
SAOUHSC_01709,185,105,234,113,224,210,396,144,246
SAOUHSC_01710,45,27,71,40,74,60,112,51,74
SAOUHSC_01711,97,55,133,77,119,122,192,61,118
SAOUHSC_01712,64,39,67,55,92,83,111,48,66
greA,654,538,854,450,861,617,766,259,480
SAOUHSC_01715,596,455,769,465,855,573,662,260,414
SAOUHSC_01716,488,381,674,425,829,599,511,174,259
SAOUHSC_01717,324,293,521,408,834,522,376,124,251
SAOUHSC_01718,113,95,151,152,289,186,157,43,84
SAOUHSC_01719,415,448,583,287,454,332,717,178,372
SAOUHSC_01720,633,628,917,466,899,632,1093,483,783
SAOUHSC_01721,474,453,709,339,658,509,851,333,625
alaS,885,755,1285,620,1166,913,1297,433,765
SAOUHSC_01723,515,543,788,468,927,611,803,338,595
SAOUHSC_01724,118,84,165,112,223,151,198,67,139
SAOUHSC_01727,419,407,657,536,1046,703,702,296,575
SAOUHSC_01728,70,70,110,68,109,90,140,63,88
SAOUHSC_01729,24,25,31,23,43,28,44,11,21
SAOUHSC_01730,30,21,35,22,43,31,33,18,25
SAOUHSC_01734,360,357,576,285,549,415,609,254,410
SAOUHSC_01735,213,191,303,176,361,223,300,106,173
SAOUHSC_01736,5,1,11,8,11,8,8,3,0
aspS,875,804,1270,512,1052,747,1262,415,747
hisS,381,366,540,260,579,439,521,210,392
SAOUHSC_01739,788,740,1148,536,995,770,1292,459,887
SAOUHSC_01741,408,378,565,254,512,406,560,264,490
SAOUHSC_01742,1373,1335,2047,873,1838,1398,1892,888,1623
SAOUHSC_01743,232,198,334,234,479,305,322,111,222
SAOUHSC_01744,383,323,541,319,707,501,544,189,397
SAOUHSC_01746,1299,1220,1896,881,1699,1242,1877,594,1226
SAOUHSC_01747,274,271,431,310,487,334,421,104,177
tgt,925,690,1255,957,1806,1278,1250,340,575
queA,363,274,542,363,825,536,444,158,309
ruvB,495,362,676,520,1130,830,705,242,486
ruvA,235,186,331,278,532,348,286,115,228
SAOUHSC_01752,57,49,66,65,98,59,62,14,33
obgE,525,479,784,700,1274,959,755,226,470
rpmA,2037,1644,2519,2112,3970,2724,2070,479,1076
SAOUHSC_01756,1313,993,1580,1233,2474,1563,1247,322,623
rplU,2730,2184,3300,2587,5243,3526,2368,733,1354
SAOUHSC_01758,162,158,237,186,332,299,253,61,134
SAOUHSC_01759,274,268,383,353,711,514,330,131,256
SAOUHSC_01760,21,22,33,21,46,33,43,18,29
SAOUHSC_01761,32,42,60,44,87,51,40,10,40
SAOUHSC_01761a,39,22,35,31,53,35,32,14,26
SAOUHSC_01762,38,35,46,41,52,50,55,24,30
SAOUHSC_01763,4,6,13,5,13,6,4,4,9
SAOUHSC_01764,4,9,14,11,14,8,18,6,10
SAOUHSC_01765,0,0,2,0,0,1,0,0,1
SAOUHSC_01766,641,548,866,430,907,627,766,223,452
valS,1652,1430,2458,1221,2437,1792,2179,725,1244
SAOUHSC_01768,225,222,319,137,272,202,393,133,264
SAOUHSC_01769,123,105,171,110,205,154,165,51,106
SAOUHSC_01770,1,1,10,4,4,4,9,2,4
SAOUHSC_01771,576,610,998,352,759,580,1050,433,945
SAOUHSC_01772,173,236,337,141,274,228,384,123,303
SAOUHSC_01773,124,133,180,80,156,108,183,91,184
hemC,335,376,630,274,541,443,544,257,507
SAOUHSC_01775,239,291,468,151,305,200,321,96,199
hemA,2890,2943,4466,1485,3219,2082,3006,1597,3271
engB,89,110,153,133,188,134,118,42,72
clpX,961,858,1374,1645,2850,2111,1452,369,672
tig,2064,1822,2936,4928,9231,6867,2623,823,1510
SAOUHSC_01780,53,40,89,34,61,53,83,39,71
SAOUHSC_01781,305,237,440,202,393,304,403,180,346
SAOUHSC_01782,242,232,359,173,421,257,379,166,378
SAOUHSC_01783,0,0,0,0,0,0,0,0,0
rplT,983,871,1369,1013,2031,1216,821,342,621
rpmI,707,657,1048,680,1649,1002,635,250,495
infC,1284,1017,1851,1252,2744,1631,1000,506,898
SAOUHSC_01787,375,281,482,331,596,465,499,135,267
thrS,1627,1505,2413,861,1705,1438,2370,725,1466
SAOUHSC_01789,1520,1523,2021,974,1735,1101,1772,765,1500
SAOUHSC_01791,461,458,725,346,647,543,840,304,639
SAOUHSC_01792,477,370,635,347,597,543,658,306,594
nrdR,208,173,316,148,276,237,312,118,278
SAOUHSC_01794,29,31,44,22,26,24,44,23,42
coaE,317,267,466,248,514,373,491,202,361
SAOUHSC_01796,268,234,399,240,414,306,429,152,272
SAOUHSC_01797,502,499,760,420,758,645,855,269,554
SAOUHSC_01798,131,129,194,106,263,191,155,71,127
SAOUHSC_01799,222,166,292,240,415,314,277,101,257
SAOUHSC_01800,109,101,163,129,223,159,114,59,130
SAOUHSC_01801,213,143,293,122,305,196,455,170,214
SAOUHSC_01802,97,59,137,95,147,143,200,46,89
SAOUHSC_01803,1255,1114,1920,881,1613,1275,2190,798,1518
SAOUHSC_01806,3727,3850,6019,2372,4765,3498,6461,2064,4383
SAOUHSC_01807,2905,2673,4354,1498,3289,2690,4446,2086,4228
SAOUHSC_01808,581,487,778,409,811,590,918,305,570
SAOUHSC_01809,323,308,485,184,402,305,575,168,278
SAOUHSC_01810,673,638,906,397,793,594,974,305,604
SAOUHSC_01811,588,566,956,400,735,603,943,335,671
SAOUHSC_01812,241,210,358,151,266,217,337,146,252
